pickup_borough,pickup_zone_name,route_borough,route_zone_name,no_trips
Manhattan,Inwood Hill Park,Manhattan-Bronx,Inwood Hill Park-Riverdale/North Riverdale/Fieldston,8
Manhattan,Inwood Hill Park,Manhattan-Bronx,Inwood Hill Park-Bedford Park,4
Manhattan,Inwood Hill Park,Manhattan-Brooklyn,Inwood Hill Park-Williamsburg (South Side),1
Manhattan,Governor's Island/Ellis Island/Liberty Island,Manhattan-Brooklyn,Governor's Island/Ellis Island/Liberty Island-Gowanus,1
Manhattan,Inwood Hill Park,Manhattan-Manhattan,Inwood Hill Park-Upper West Side North,5
Manhattan,Inwood Hill Park,Manhattan-Manhattan,Inwood Hill Park-Clinton West,1
Manhattan,Inwood Hill Park,Manhattan-Manhattan,Inwood Hill Park-Manhattan Valley,3
Manhattan,Inwood Hill Park,Manhattan-Manhattan,Inwood Hill Park-Stuy Town/Peter Cooper Village,1
Manhattan,Inwood Hill Park,Manhattan-Manhattan,Inwood Hill Park-East Harlem South,4
Manhattan,Inwood Hill Park,Manhattan-Bronx,Inwood Hill Park-Kingsbridge Heights,6
Manhattan,Inwood Hill Park,Manhattan-Manhattan,Inwood Hill Park-West Village,1
Manhattan,Inwood Hill Park,Manhattan-Manhattan,Inwood Hill Park-Kips Bay,1
Manhattan,Inwood Hill Park,Manhattan-Manhattan,Inwood Hill Park-Manhattanville,4
Manhattan,Inwood Hill Park,Manhattan-Manhattan,Inwood Hill Park-Bloomingdale,6
Manhattan,Inwood Hill Park,Manhattan-Manhattan,Inwood Hill Park-Union Sq,1
Manhattan,Inwood Hill Park,Manhattan-Manhattan,Inwood Hill Park-Murray Hill,2
Manhattan,Inwood Hill Park,Manhattan-Manhattan,Inwood Hill Park-Meatpacking/West Village West,1
Manhattan,Governor's Island/Ellis Island/Liberty Island,Manhattan-Manhattan,Governor's Island/Ellis Island/Liberty Island-Little Italy/NoLiTa,1
Manhattan,Inwood Hill Park,Manhattan-Manhattan,Inwood Hill Park-Central Harlem,1
Manhattan,Inwood Hill Park,Manhattan-Bronx,Inwood Hill Park-Melrose South,1
Manhattan,Inwood Hill Park,Manhattan-Queens,Inwood Hill Park-South Ozone Park,1
Manhattan,Inwood Hill Park,Manhattan-Manhattan,Inwood Hill Park-East Village,2
Manhattan,Inwood Hill Park,Manhattan-Bronx,Inwood Hill Park-Crotona Park East,1
Manhattan,Inwood Hill Park,Manhattan-Brooklyn,Inwood Hill Park-Boerum Hill,1
