pickup_borough,pickup_date,pickup_weekday_name,pickup_hour,no_of_trips
Staten Island,20/4/16,Wednesday,14,1
Bronx,17/2/16,Wednesday,22,9
EWR,15/4/16,Friday,8,1
Bronx,26/3/16,Saturday,10,14
Bronx,23/2/16,Tuesday,19,19
Bronx,19/3/16,Saturday,5,30
Bronx,14/2/16,Sunday,19,14
Bronx,15/5/16,Sunday,11,14
Staten Island,11/3/16,Friday,19,3
EWR,25/5/16,Wednesday,6,1
Staten Island,30/6/16,Thursday,12,1
EWR,23/6/16,Thursday,9,1
EWR,8/2/16,Monday,6,2
Staten Island,6/4/16,Wednesday,17,2
Bronx,25/6/16,Saturday,17,19
Bronx,19/5/16,Thursday,0,11
Bronx,21/5/16,Saturday,19,17
EWR,28/4/16,Thursday,13,3
Bronx,2/4/16,Saturday,20,28
Bronx,13/2/16,Saturday,9,8
Bronx,9/4/16,Saturday,12,12
Staten Island,13/2/16,Saturday,13,2
Bronx,13/1/16,Wednesday,8,17
EWR,4/5/16,Wednesday,5,4
Bronx,16/5/16,Monday,23,5
EWR,10/4/16,Sunday,12,3
EWR,17/1/16,Sunday,20,1
EWR,31/3/16,Thursday,4,1
Staten Island,18/4/16,Monday,21,1
Bronx,3/6/16,Friday,18,15
Bronx,30/3/16,Wednesday,22,6
Bronx,26/2/16,Friday,2,18
Bronx,30/6/16,Thursday,5,6
EWR,10/6/16,Friday,18,1
Staten Island,22/5/16,Sunday,14,1
Bronx,8/5/16,Sunday,23,39
Bronx,11/4/16,Monday,3,6
Bronx,2/5/16,Monday,23,10
Bronx,2/4/16,Saturday,3,24
Staten Island,13/6/16,Monday,23,3
EWR,6/5/16,Friday,15,4
Bronx,22/2/16,Monday,2,6
Bronx,21/6/16,Tuesday,22,23
EWR,22/2/16,Monday,6,2
Bronx,2/6/16,Thursday,20,12
Bronx,26/2/16,Friday,22,14
EWR,22/6/16,Wednesday,17,1
Staten Island,2/2/16,Tuesday,15,1
Bronx,9/3/16,Wednesday,1,12
Bronx,22/4/16,Friday,20,12
EWR,4/1/16,Monday,13,2
Staten Island,24/5/16,Tuesday,23,2
Bronx,1/2/16,Monday,22,6
Bronx,9/1/16,Saturday,6,21
Bronx,14/2/16,Sunday,22,18
Staten Island,6/5/16,Friday,2,3
Bronx,22/6/16,Wednesday,15,17
Bronx,22/1/16,Friday,8,15
EWR,1/3/16,Tuesday,12,1
Bronx,17/5/16,Tuesday,5,10
Bronx,15/6/16,Wednesday,20,9
EWR,6/6/16,Monday,16,1
EWR,6/1/16,Wednesday,14,2
Bronx,28/2/16,Sunday,7,10
Bronx,17/6/16,Friday,3,9
Bronx,4/4/16,Monday,21,9
Bronx,6/3/16,Sunday,19,16
Bronx,5/3/16,Saturday,18,23
Staten Island,7/3/16,Monday,20,1
EWR,16/2/16,Tuesday,12,3
Bronx,22/1/16,Friday,22,14
Bronx,30/5/16,Monday,0,34
EWR,18/3/16,Friday,10,2
EWR,16/2/16,Tuesday,6,2
Bronx,5/6/16,Sunday,1,23
EWR,17/2/16,Wednesday,19,2
Bronx,25/6/16,Saturday,12,11
Bronx,13/2/16,Saturday,11,13
EWR,25/4/16,Monday,22,2
Bronx,21/2/16,Sunday,15,12
Staten Island,23/3/16,Wednesday,13,1
EWR,15/2/16,Monday,13,1
Staten Island,18/2/16,Thursday,11,2
Bronx,31/1/16,Sunday,23,10
Bronx,26/3/16,Saturday,0,24
Bronx,13/2/16,Saturday,22,21
Bronx,3/6/16,Friday,23,19
Bronx,27/5/16,Friday,4,23
Staten Island,27/4/16,Wednesday,18,1
Bronx,1/5/16,Sunday,14,19
Staten Island,20/4/16,Wednesday,7,1
Staten Island,25/4/16,Monday,18,1
Staten Island,26/3/16,Saturday,19,1
EWR,8/3/16,Tuesday,7,1
Bronx,31/5/16,Tuesday,12,13
EWR,9/2/16,Tuesday,16,1
Staten Island,19/5/16,Thursday,16,1
Staten Island,26/5/16,Thursday,10,3
Staten Island,13/3/16,Sunday,11,1
Bronx,29/4/16,Friday,15,8
Bronx,26/2/16,Friday,15,6
Bronx,30/5/16,Monday,18,6
Staten Island,2/4/16,Saturday,20,1
Bronx,22/5/16,Sunday,22,16
EWR,31/5/16,Tuesday,21,1
EWR,26/5/16,Thursday,14,1
EWR,11/5/16,Wednesday,14,2
Staten Island,9/6/16,Thursday,15,1
Staten Island,25/6/16,Saturday,8,1
EWR,11/2/16,Thursday,5,3
Staten Island,19/1/16,Tuesday,11,5
Bronx,22/3/16,Tuesday,4,9
Bronx,5/1/16,Tuesday,3,12
EWR,17/6/16,Friday,12,3
Bronx,4/6/16,Saturday,9,16
Staten Island,23/3/16,Wednesday,8,2
Bronx,1/1/16,Friday,8,21
Bronx,5/2/16,Friday,9,9
EWR,14/5/16,Saturday,18,1
Bronx,15/3/16,Tuesday,18,7
Bronx,1/3/16,Tuesday,19,15
Bronx,16/6/16,Thursday,3,4
Bronx,7/2/16,Sunday,14,5
Bronx,18/5/16,Wednesday,13,8
Bronx,11/5/16,Wednesday,7,16
Bronx,6/5/16,Friday,14,6
EWR,23/4/16,Saturday,11,1
Bronx,29/3/16,Tuesday,18,7
Bronx,31/3/16,Thursday,14,17
Bronx,11/6/16,Saturday,3,20
Bronx,4/5/16,Wednesday,12,7
