pickup_borough,pickup_date,pickup_weekday_name,pickup_hour,no_of_trips
Brooklyn,2016-06-21,Tuesday,7,218
Manhattan,2016-06-25,Saturday,3,10737
Brooklyn,2016-06-26,Sunday,18,231
Queens,2016-06-20,Monday,13,1194
Staten Island,2016-06-22,Wednesday,7,1
Queens,2016-06-23,Thursday,15,1374
Brooklyn,2016-06-22,Wednesday,1,219
Queens,2016-06-22,Wednesday,23,1135
Bronx,2016-06-23,Thursday,17,12
Manhattan,2016-06-24,Friday,22,20742
Staten Island,2016-06-22,Wednesday,8,2
Bronx,2016-06-25,Saturday,4,35
Staten Island,2016-06-25,Saturday,11,3
Bronx,2016-06-23,Thursday,13,10
Brooklyn,2016-06-24,Friday,4,191
Manhattan,2016-06-22,Wednesday,7,15025
Bronx,2016-06-25,Saturday,10,10
Bronx,2016-06-24,Friday,19,17
Staten Island,2016-06-23,Thursday,11,2
EWR,2016-06-23,Thursday,6,1
EWR,2016-06-25,Saturday,13,3
EWR,2016-06-26,Sunday,17,3
Manhattan,2016-06-20,Monday,21,18249
Queens,2016-06-26,Sunday,17,1541
Manhattan,2016-06-21,Tuesday,3,1721
Manhattan,2016-06-23,Thursday,13,16924
Manhattan,2016-06-23,Thursday,21,22296
Manhattan,2016-06-20,Monday,20,17790
Brooklyn,2016-06-22,Wednesday,4,105
Manhattan,2016-06-21,Tuesday,5,3233
Bronx,2016-06-25,Saturday,8,12
Queens,2016-06-26,Sunday,20,1589
Staten Island,2016-06-21,Tuesday,16,3
Manhattan,2016-06-23,Thursday,20,19963
Brooklyn,2016-06-26,Sunday,12,181
Queens,2016-06-20,Monday,8,1184
Brooklyn,2016-06-23,Thursday,8,327
Staten Island,2016-06-21,Tuesday,10,1
Queens,2016-06-26,Sunday,19,1569
Brooklyn,2016-06-26,Sunday,11,211
Manhattan,2016-06-21,Tuesday,12,16737
Manhattan,2016-06-22,Wednesday,8,18845
Brooklyn,2016-06-22,Wednesday,16,68
Queens,2016-06-20,Monday,6,691
Queens,2016-06-25,Saturday,14,1071
Staten Island,2016-06-24,Friday,2,2
Manhattan,2016-06-24,Friday,10,15449
Queens,2016-06-24,Friday,8,907
Brooklyn,2016-06-21,Tuesday,17,127
EWR,2016-06-25,Saturday,21,1
Brooklyn,2016-06-23,Thursday,7,274
Staten Island,2016-06-23,Thursday,23,3
Brooklyn,2016-06-21,Tuesday,10,115
Staten Island,2016-06-23,Thursday,22,6
Manhattan,2016-06-23,Thursday,19,22682
Staten Island,2016-06-22,Wednesday,11,3
Manhattan,2016-06-25,Saturday,5,3523
EWR,2016-06-26,Sunday,20,3
Staten Island,2016-06-22,Wednesday,13,3
Brooklyn,2016-06-25,Saturday,19,331
Queens,2016-06-24,Friday,3,196
Staten Island,2016-06-22,Wednesday,1,1
Bronx,2016-06-25,Saturday,7,9
Staten Island,2016-06-20,Monday,21,1
Bronx,2016-06-21,Tuesday,1,3
Brooklyn,2016-06-24,Friday,6,182
Bronx,2016-06-22,Wednesday,11,13
Staten Island,2016-06-25,Saturday,13,6
Brooklyn,2016-06-20,Monday,19,180
Brooklyn,2016-06-20,Monday,15,104
Bronx,2016-06-23,Thursday,1,10
Brooklyn,2016-06-23,Thursday,12,104
Brooklyn,2016-06-23,Thursday,2,179
Staten Island,2016-06-24,Friday,11,1
Brooklyn,2016-06-21,Tuesday,19,226
Bronx,2016-06-22,Wednesday,16,18
Queens,2016-06-26,Sunday,0,929
Manhattan,2016-06-24,Friday,17,16290
Brooklyn,2016-06-26,Sunday,21,429
Queens,2016-06-25,Saturday,7,607
Brooklyn,2016-06-26,Sunday,20,415
Bronx,2016-06-22,Wednesday,18,13
Bronx,2016-06-24,Friday,9,7
Bronx,2016-06-25,Saturday,14,15
Bronx,2016-06-26,Sunday,17,13
EWR,2016-06-22,Wednesday,9,4
Manhattan,2016-06-21,Tuesday,7,15480
Queens,2016-06-22,Wednesday,8,824
EWR,2016-06-25,Saturday,23,2
Brooklyn,2016-06-21,Tuesday,0,293
EWR,2016-06-22,Wednesday,4,1
Manhattan,2016-06-23,Thursday,2,3998
Bronx,2016-06-22,Wednesday,2,7
Bronx,2016-06-25,Saturday,15,19
Manhattan,2016-06-20,Monday,8,16820
EWR,2016-06-24,Friday,13,1
Manhattan,2016-06-25,Saturday,23,20187
Brooklyn,2016-06-24,Friday,5,149
Staten Island,2016-06-23,Thursday,4,1
Queens,2016-06-25,Saturday,13,1081
Brooklyn,2016-06-26,Sunday,14,204
Manhattan,2016-06-20,Monday,4,2163
Queens,2016-06-23,Thursday,21,1344
Brooklyn,2016-06-26,Sunday,13,231
Bronx,2016-06-23,Thursday,2,4
EWR,2016-06-22,Wednesday,16,2
Brooklyn,2016-06-26,Sunday,5,167
Queens,2016-06-26,Sunday,23,1897
Brooklyn,2016-06-21,Tuesday,20,287
Brooklyn,2016-06-26,Sunday,1,1184
Brooklyn,2016-06-23,Thursday,17,134
Queens,2016-06-20,Monday,11,1164
Bronx,2016-06-26,Sunday,16,11
Queens,2016-06-26,Sunday,15,1400
Manhattan,2016-06-26,Sunday,7,4692
Queens,2016-06-20,Monday,12,1101
Bronx,2016-06-20,Monday,17,13
EWR,2016-06-20,Monday,11,1
EWR,2016-06-22,Wednesday,12,2
Manhattan,2016-06-23,Thursday,3,2601
Manhattan,2016-06-25,Saturday,10,14852
Queens,2016-06-20,Monday,10,1289
Bronx,2016-06-26,Sunday,3,19
Brooklyn,2016-06-20,Monday,4,132
Brooklyn,2016-06-20,Monday,16,111
Staten Island,2016-06-23,Thursday,3,1
Brooklyn,2016-06-22,Wednesday,10,75
Brooklyn,2016-06-26,Sunday,23,575
Queens,2016-06-25,Saturday,1,505
Queens,2016-06-20,Monday,21,1336
Queens,2016-06-21,Tuesday,6,575
EWR,2016-06-26,Sunday,10,2
Bronx,2016-06-26,Sunday,18,3
Brooklyn,2016-06-24,Friday,14,181
Bronx,2016-06-25,Saturday,9,10
EWR,2016-06-20,Monday,20,1
Brooklyn,2016-06-22,Wednesday,17,143
Queens,2016-06-26,Sunday,6,416
Brooklyn,2016-06-25,Saturday,0,959
Manhattan,2016-06-25,Saturday,20,16930
